,Year,Comm. Code,Weight (kg),Quantity
9475,2020,290619,2157434.511,2157434.511
9477,2020,290621,1538297.55,1538297.55
9479,2020,290629,3277199.98,3277199.98
9481,2020,290711,710008778.673,710008778.673
9484,2020,290712,5435863.59,5435863.59
9485,2020,290713,11950532.391,11950532.391
9487,2020,290715,12698.262,12698.262
9489,2020,290719,43263577.267,43263577.267
9491,2020,290721,2523299.163,2523299.163
9493,2020,290722,7398338.997,7398338.997
9496,2020,290723,594733349.399,594733349.399
9497,2020,290729,14208472.01,14208472.01
9499,2020,290819,67392517.659,67392517.659
9501,2020,290899,643916.927,643916.927
9504,2020,290911,1163.0,1163.0
9505,2020,290919,797258956.937,797258956.937
9507,2020,290920,285252.457,285252.457
9509,2020,290930,7592222.285,7592222.285
9511,2020,290941,,
9514,2020,290943,191353324.0,191353324.0
9515,2020,290944,32754944.765,32754944.765
9518,2020,290949,103806197.529,103806197.529
9519,2020,290950,7879842.393,7879842.393
9521,2020,290960,11950250.613,11950250.613
9524,2020,291010,50.0,50.0
9526,2020,291020,470465469.483,470465469.483
9528,2020,291030,7062284.535,7062284.535
9530,2020,291090,11823564.514,11823564.514
